artists,title,link
Project AER,Growth Patterns,https://lofigirl.com/wp-content/uploads/2022/11/Growth-Pattern.zip
steezy prime,Half past three,https://lofigirl.com/wp-content/uploads/2023/06/steezy.zip
Lofi Records,Halloween 2023 🎃,https://lofigirl.com/wp-content/uploads/2023/10/halloween-2023.zip
No spirit,Happy Moments,https://lofigirl.com/wp-content/uploads/2022/10/No-Spirit-Happy-Moments-.zip
Dosi,Haunted Castle,https://lofigirl.com/wp-content/uploads/2023/01/Haunted-Castle.zip
AJMW,Heading Home,https://lofigirl.com/wp-content/uploads/2022/10/Heading-Home.zip
Team Astro,Hidden Treasure,https://lofigirl.com/wp-content/uploads/2022/10/Team-Astro-Hidden-Treasure.zip
Tatami Construct,Hidden World,https://lofigirl.com/wp-content/uploads/2022/10/Tatami-Construct-Hidden-World.zip
Loafy Building,High Flying,https://lofigirl.com/wp-content/uploads/2022/11/High-Flying.zip
L'Outlander,Homeland,https://lofigirl.com/wp-content/uploads/2022/11/Homeland.zip
Thaehan,Hourglass,https://lofigirl.com/wp-content/uploads/2022/11/Hourglass.zip
Team Astro,Hush,https://lofigirl.com/wp-content/uploads/2022/10/Hush.zip
Chiccote's Beats,Illusion,https://lofigirl.com/wp-content/uploads/2022/10/Illusion.zip
Rudy Raw,Imagenero,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Rudy-Raw-Imagenero.zip
Kinissue,Imperfect,https://lofigirl.com/wp-content/uploads/2022/11/Kinissue-Imperfect.zip
Sleepermane,In Between Cycles,https://lofigirl.com/wp-content/uploads/2022/10/Sleepermane-In-Between-Cycles.zip
Yasumu/Plant Guy,In Harmony With Nature,https://lofigirl.com/wp-content/uploads/2022/11/Plant-Guy-In-Harmony-With-Nature.zip
ENRA,In Motion,https://lofigirl.com/wp-content/uploads/2022/10/In-Motion.zip
Blue Wednesday,In My Head,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Blue-Wednesday-In-My-Head.zip
DaniSogen,In Search of Peace,https://lofigirl.com/wp-content/uploads/2022/11/In-search-of-peace.zip
hevi  H.1,Indigo Night,https://lofigirl.com/wp-content/uploads/2022/10/H.1-x-Hevi-Indigo-Night.zip
dryhope/Mavine,Inference,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Mavine-Inference.zip
Bcalm,Innocence,https://lofigirl.com/wp-content/uploads/2022/10/Bcalm-Innoncence.zip
TABAL,Inside Space,https://lofigirl.com/wp-content/uploads/2022/10/Inside-Space.zip
Nothingtosay,Introspective,https://lofigirl.com/wp-content/uploads/2022/10/Introspective.zip
HoKø,Jazz in Tokyo,https://lofigirl.com/wp-content/uploads/2023/09/Jazz-in-Tokyo.zip
Glimlip  dontcry,Jiro Dreams,https://lofigirl.com/wp-content/uploads/2022/10/Jiro-Dreams.zip
Project AER,Journals,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Project-AER-Journals.zip
Nuver,Kalopsia,https://lofigirl.com/wp-content/uploads/2022/10/Nuver-Kalopsia.zip
azayaka,Keeping Time,https://lofigirl.com/wp-content/uploads/2024/01/Keeping-Time.zip
dryhope/Mavine,Kenopsia,https://lofigirl.com/wp-content/uploads/2022/11/Kenopsia.zip
Azula  Dillan Witherow/juniorodeo,Kids,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Dillan-Witherow-x-Azula-Kids.zip
Paxkalito  PBdR,Kind of Red,https://lofigirl.com/wp-content/uploads/2023/07/kind-of-red.zip
